policy_id,customer_id,producto,fecha_inicio,fecha_fin,prima_mxn,estatus
P000058,C02120,GMM,2021-09-20,09-20-2022,12981.89,ACTIVE
P000059,C02435,vida,27/07/2023,2024-07-26,28251.24,vencido
P000060,C00920,AUTO,04-06-2022,06/04/2023,49349.57,cancelado
P000061,C03445,HOGAR,2023-08-10,08-09-2024,33519.87,ACTIVE
P000062,C04462,auto,08-22-2025,08-22-2026,45552.57,Cancelada
P000063,C02622,Automóvil,2023-07-04,2024-07-03,17032.26,LAPSED
P000064,C01235,vida,24/03/2025,03-24-2026,13759.53,ACTIVE
P000065,C02763,HOGAR,02-17-2024,02-16-2025,46619.79,Activo
P000066,C02207,Gastos medicos,27/02/2023,2024-02-27,-33054.04,vencido
P000067,C03096,Automóvil,05-16-2025,16/05/2026,46828.11,cancelado
P000068,C04559,GMM,01-07-2023,07/01/2024,57255.13,activa
P000069,C01007,Gastos medicos,2023-01-30,01-30-2024,25966.07,Vigente
P000070,C01827,vida,01-05-2022,01-05-2023,46769.81,cancelled
P000071,C04111,GMM,30/01/2023,30/01/2024,22214.02,LAPSED
P000072,C01959,Vida,21/09/2021,2022-09-21,50912.12,cancelled
P000073,C01235,HOGAR,22/11/2024,2025-11-22,25335.55,ACTIVE
P000074,C03116,VIDA,07/02/2021,2022-02-07,19884.4,activa
P000075,C04297,gastos médicos,2022-07-25,07-25-2023,7357.95,activa
P000076,C04292,vida,2025-04-30,2026-04-30,18945.99,Vigente
P000077,C02372,HOGAR,20/01/2025,01-20-2026,33573.75,Vencida
P000078,C03174,Gastos Médicos,2023-05-08,07/05/2024,,Activo
P000079,C03320,GMM,09-16-2022,2023-09-16,-31820.67,LAPSED
P000080,C02082,Gastos medicos,02-27-2024,2025-02-26,35115.86,Cancelada
P000081,C03075,Automóvil,2021-09-08,2022-09-08,43373.12,Vigente
P000082,C02714,Seguro de Vida,01-26-2025,26/01/2026,50550.97,Activo
P000083,C04318,HOGAR,2024-12-12,2025-12-12,6405.25,activa
P000084,C00051,GMM,29/06/2021,06-29-2022,44906.84,active
P000085,C00868,Automóvil,2025-12-17,17/12/2026,17187.11,LAPSED
P000086,C03856,auto,2021-04-08,2022-04-08,26151.96,activa
P000087,C04300,vida,18/08/2021,18/08/2022,52741.41,CANCELLED
P000088,C01406,AUTO,2026-03-03,2027-03-03,6423.34,Vencida
P000089,C00773,AUTO,11-18-2024,18/11/2025,39044.25,Activo
P000090,C02596,Casa,27/03/2023,03-26-2024,47019.79,active
P000091,C01474,Hogar,11/11/2022,11-11-2023,18976.99,Activo
P000092,C00985,auto,21/12/2024,12-21-2025,10044.12,activa
P000093,C01868,hogar,30/09/2024,09-30-2025,57961.91,Vigente
P000094,C01383,AUTO,2023-08-07,08-06-2024,53469.26,Vencida
P000095,C01888,GMM,24/10/2023,2024-10-23,36820.54,Activo
P000096,C04606,GMM,05-29-2025,05-29-2026,22577.25,active
P000097,C02356,HOGAR,07-10-2023,2024-07-09,59149.71,Vencida
P000098,C04188,Automóvil,07-31-2024,2025-07-31,49104.02,LAPSED
P000099,C00859,Auto,07-14-2024,2025-07-14,8839.27,activa
P000100,C00588,Seguro de Vida,2024-03-29,29/03/2025,16915.02,ACTIVE
