payment_id,policy_id,fecha_pago,monto_mxn,metodo
PAY0000082,P000997,02-04-2022,5294.21,Transferencia
PAY0000083,P004503,11/11/2024,3632.04,Transferencia
PAY0000084,P002536,2021-08-04,3071.25,tarjeta
PAY0000085,P002889,05-02-2024,703.1,
PAY0000086,P006690,07-28-2021,2533.43,oxxo
PAY0000087,P003377,13/12/2021,5828.08,
PAY0000088,P000697,2022-11-01,5602.98,Transferencia
PAY0000089,P002475,07-17-2023,2841.58,domiciliación
PAY0000090,P007207,06/08/2022,1709.18,tarjeta
PAY0000091,P003637,2023-09-04,2908.81,Transferencia
PAY0000092,P005774,07-02-2024,4996.06,domiciliación
PAY0000093,P000692,13/01/2024,2798.73,oxxo
PAY0000094,P001298,03/03/2026,4496.53,domiciliación
PAY0000095,P001255,25/09/2025,1566.7,Transferencia
PAY0000096,P004162,07/07/2025,2190.45,oxxo
PAY0000097,P006221,2024-12-24,2990.72,oxxo
PAY0000098,P005431,2024-09-19,2249.09,Transferencia
PAY0000099,P006452,24/03/2023,593.66,tarjeta
PAY0000100,P002465,03-07-2022,2076.71,domiciliación
